 CÓDIGO ;Número;Ramal/Estrada;Classificação;Segmentação;Rodovia/Estrada de acesso;Ponto de referencia ;Local de Início ;Local Termino ;Município;Calha;Extensão (km);Extensão de Obra (km);Und;Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final;Traçado KML;Traçado SHP;Ficha de Cadastro;Fotos;Relatorio;Mapa ;Assentamento Oficial;Acesso a Comunidades ou Distritos;Zona Agrícola ou Agropecuária;Zonas ou Pontos de Turísticos ;Atividade Industrial ;Nota Uso de Solo;População;Qtd. Sub-Vicinais ;Nota Nível de Ocupação;Acesso intermodal;Via de Acesso Alternativa ;Boa trafegabilidade terrestre;Infraestrutura de Acesso ;Acesso a serviços publicos;Nota de Vulnerabilidade de Transporte;Relevo;Tipo de Terreno;Unidades de Conservação;Sitio Arqueológico ;Terra Indigena ;OAES;Nota de Dificuldade de Elaboração de projeto e execução;Desenvolvimento Local;Vulnerabilidade de transporte ;Dificuldade de Elaboração;Soma;Prioridade;Revestimento;Qualidade do Pavimento Existente ;Fonte;Situação;ANO DE CONCLUSÃO;numero_ct_cv;RESUMO DO OBJETO;Custo Estimado ;Custo Contratatado 
RMPRF;391;RAMAL DA COMUNIDADE NOVA UNIÃO;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 19,50;Início do Ramal da Comunidade Nova União - Am-240 - Km 19,55;Fim do Ramal da Comunidade Nova União - Km 11,5;PRESIDENTE FIGUEIREDO;RMM;11,50;;km;"  2° 2'50.49""S";" 59°52'1.20""W";"  1°59'3.21""S";" 59°54'27.66""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 28.750.000,00;
RMPRF;392;RAMAL DO kM 21 - AM-240;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 21,94;Início do Ramal do Km 21 - Am-240 - Km 21,94;Fim do Ramal do Km 21 - Am-240 - Km 0,74;PRESIDENTE FIGUEIREDO;RMM;0,74;;km;"  2° 2'28.93""S";" 59°50'48.91""W";"  2° 2'50.76""S";" 59°50'54.03""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 1.850.000,00;
RMPRF;393;RAMAL COMUNIDADE SÃO FRANCISCO DE ASSIS;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 25,54;Início do Ramal da Comunidade São Francisco de Assis - Am-240 - Km 25,54;Fim do Ramal da Comunidade São Francisco de Assis - Km 4,74;PRESIDENTE FIGUEIREDO;RMM;4,74;;km;"  2° 2'32.95""S";" 59°48'54.17""W";"  2° 0'43.93""S";" 59°49'33.31""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 11.850.000,00;
RMPRF;394;RAMAL DA COMUNIDADE SÃO SALVADOR ;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 27,1;Início do Ramal da Comunidade São Salvador - Am-240 - Km 27,1;Fim do Ramal da Comunidade São Salvador - Km 10,6;PRESIDENTE FIGUEIREDO;RMM;10,60;;km;"  2° 2'38.11""S";" 59°48'4.59""W";"  2° 8'4.82""S";" 59°48'43.15""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 26.500.000,00;
RMPRF;395;RAMAL A COMUNIDADE CRISTO REI;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 29,10;Início do Ramal da Comunidade Cristo Rei - Am-240 - Km 29,10;Fim do Ramal da Comunidade Cristo Rei - Km 10,5;PRESIDENTE FIGUEIREDO;RMM;10,50;;km;"  2° 2'38.42""S";" 59°47'0.07""W";"  2° 6'56.74""S";" 59°45'8.42""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 26.250.000,00;
RMPRF;396;RAMAL OGA CRISTO REI ;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 29,24;Início do Ramal Oga Cristo Rei - Am-240 - Km 29,24;Fim do Ramal Oga Cristo Rei - Km 5,92;PRESIDENTE FIGUEIREDO;RMM;5,92;;km;"  2° 2'37.00""S";" 59°46'55.74""W";"  1°59'30.04""S";" 59°46'46.74""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 14.800.000,00;
RMPRF;397;RAMAL DA COMUNIDADE CRISTÃ;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 32,78;Início do Ramal da Comunidade Cristã - Am-240 - Km 32,78;Fim do Ramal da Comunidade Cristã - Km 4,86;PRESIDENTE FIGUEIREDO;RMM;4,86;;km;"  2° 2'14.95""S";" 59°45'0.75""W";"  2° 0'35.94""S";" 59°43'36.03""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 12.150.000,00;
RMPRF;398;RAMAL DA COMUNIDADE NOVO HORIZONTE ;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 37,51;Início do Ramal da Comunidade Novo Horizonte - Am-240 - Km 37,51;Fim do Ramal da Comunidade Novo Horizonte - Km 8,20;PRESIDENTE FIGUEIREDO;RMM;8,20;;km;"  2° 2'49.73""S";" 59°42'45.48""W";"  2° 0'3.16""S";" 59°44'25.05""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 20.500.000,00;
RMPRF;399;RAMAL DA MORENA;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 73,22;Início do Ramal da Morena - Am-240 - Km 73,22;Fim do Ramal da Morena - Porto da Morena - Km 33,9;PRESIDENTE FIGUEIREDO;RMM;33,90;;km;"  1°55'51.19""S";" 59°28'39.47""W";"  2° 7'26.11""S";" 59°19'28.49""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 84.750.000,00;
RMPRF;400;SUB. RAMAL DA MORENA - kM 33;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 33;Início do Sub.Ramal da Morena - Km 33;Fim do Sub.Ramal do Ramal da Morena Km 33 - Km 6,38;PRESIDENTE FIGUEIREDO;RMM;6,38;;km;"  2° 6'57.76""S";" 59°19'24.21""W";"  2° 4'34.18""S";" 59°18'16.80""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 15.950.000,00;
RMPRF;401;RAMAL COMUNIDADE FÉ EM DEUS;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 67,93;Início do Ramal da Comunidade Fé em Deus - Am-240 - Km 67,93;Fim do Ramal da Comunidade Fé em Deus - Km 1,63;PRESIDENTE FIGUEIREDO;RMM;1,63;;km;"  1°57'28.22""S";" 59°29'24.56""W";"  1°56'58.30""S";" 59°28'52.63""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 4.075.000,00;
RMPRF;402;RAMAL DA COMUNIDADE SÃO MIGUEL ;ESTRADA;PRIMÁRIO;AM-240;AM-240 - KM 51;Início do Ramal da Comunidade São Miguel - Am-240 - Km 51;Fim do Ramal da Comunidade São Miguel - Km 6,81;PRESIDENTE FIGUEIREDO;RMM;6,81;;km;"  2° 1'59.50""S";" 59°36'8.08""W";"  2° 5'10.11""S";" 59°35'36.19""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 17.025.000,00;
RMRPE;403;RAMAL BONS AMIGOS ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 56,7 ;Início do Ramal Bons Amigos - Am-010 - Km 56,7;Fim do Ramal Bons Amigos - Km 0,66 ;RIO PRETO DA EVA ;RMM;0,66;;km;"  2°44'6.90""S";" 59°52'13.93""W";"  2°43'47.62""S";" 59°52'21.77""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 1.650.000,00;
RMRPE;404;RAMAL DO kM 63 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 63,3 ;Início do Ramal do Km 63 - Am-010 - Km 63,3;Fim do Ramal do Km 63 - Km 1,47 ;RIO PRETO DA EVA ;RMM;1,40;;km;"  2°44'4.25""S";" 59°49'20.51""W";"  2°43'29.05""S";" 59°49'0.31""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 3.500.000,00;
RMRPE;405;RAMAL DO kM 67 - AM-010;ESTRADA;PRIMÁRIO;AM-010 ;AM-010 - KM 67,5;Início do Ramal do Km 63 - Am-010 - Km 63,5;Fim do Ramal do Km 67 - Km 3,7 ;RIO PRETO DA EVA ;RMM;3,70;;km;"  2°44'2.41""S";" 59°47'20.73""W";"  2°42'15.05""S";" 59°46'36.38""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 9.250.000,00;
RMRPE;406;RAMAL DO kM 71 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 71,6;Início do Ramal do Km 71 - Am-010 - Km 71,6;Fim do Ramal do Km 71 - Km 1,7;RIO PRETO DA EVA ;RMM;1,70;;km;"  2°44'28.74""S";" 59°45'25.01""W";"  2°45'19.67""S";" 59°45'27.03""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 4.250.000,00;
RMRPE;407;RAMAL DO PARAÍSO VERDE ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 72,8;Início do Ramal do Paraíso Verde - Am-010 - Km 72,8;Fim do Ramal do Paraíso Verde - Km 3,4;RIO PRETO DA EVA ;RMM;3,40;;km;"  2°44'23.55""S";" 59°45'3.31""W";"  2°43'10.40""S";" 59°46'11.69""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 8.500.000,00;
RMRPE;408;SUB. RAMAL 01 - RAMAL SULIVAN PORTELA ;ESTRADA;PRIMÁRIO;RAMAL SULIVAN PORTELA;RAMAL SULIVAN PORTELA - KM 9,1 ;Início do Sub.Ramal 01 - Ramal Sulivan Portela - Km 9,4 ;Fim do Sub.Ramal 01 -  Ramal mdo Silivan Portela - Km 16 ;RIO PRETO DA EVA ;RMM;16,00;;km;"  2°44'43.18""S";" 59°37'58.86""W";"  2°40'59.20""S";" 59°34'3.15""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 40.000.000,00;
RMRPE;409;SUB. RAMAL 02 - RAMAL SULIVAN PORTELA ;ESTRADA;PRIMÁRIO;RAMAL SULIVAN PORTELA;SUB.RAMAL 01 - RAMAL SULIVAN PORTELA - KM 9,2;Início do Sub.Ramal 02 - Ramal Sulivan Portela - Sub.Ramal 01 - Km 2;Fim do Sub.Ramal 02 - Ramal Sulivan Portela - Km 7,88;RIO PRETO DA EVA ;RMM;7,80;;km;"  2°43'50.08""S";" 59°37'32.18""W";"  2°40'46.55""S";" 59°36'9.17""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 19.500.000,00;
RMRPE;410;SUB. RAMAL 03 - RAMAL SULIVAN PORTELA ;ESTRADA;PRIMÁRIO;RAMAL SULIVAN PORTELA;RAMAL SULIVAN PORTELA - KM 16,5;Início do Sub.Ramal 03 - Ramal Sulivan Portela - Km 16,5;Fim do Sub.Ramal 03 - Ramal Sulivan Portela - Km 3,9;RIO PRETO DA EVA ;RMM;3,90;;km;"  2°47'16.55""S";" 59°35'59.68""W";"  2°46'38.76""S";" 59°34'1.61""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 9.750.000,00;
RMRPE;411;SUB. RAMAL 04 - RAMAL SULIVAN PORTELA ;ESTRADA;PRIMÁRIO;RAMAL SULIVAN PORTELA;RAMAL SULIVAN PORTELA - KM 20;Início do Sub.Ramal 04 - Ramal do Sulivan Portela - Km 20;Fim do Sub.Ramal 04 - Ramal Sulivan Portela - Km 2,1 ;RIO PRETO DA EVA ;RMM;2,10;;km;"  2°48'27.67""S";" 59°35'20.45""W";"  2°49'4.61""S";" 59°36'15.07""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 5.250.000,00;
RMRPE;412;ESTRADA ZF-7 B;ESTRADA;PRIMÁRIO;AM-010 ;AM-010 - KM 87,9;Início da Estrada ZF-7 B - Am-010 - Km 87,9;Fim da Estrada ZF- 7 B - Km 18,7 ;RIO PRETO DA EVA ;RMM;18,70;;km;"  2°39'39.40""S";" 59°39'22.25""W";"  2°33'27.69""S";" 59°41'22.23""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 46.750.000,00;
RMRPE;413;RAMAL DO kM 83 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 83,4; Início do Ramal do Km 83 - Am-010 - Km 83,40;Fim do Ramal do Km 83 - Km 83,4 - estrada da ZF-7 B;RIO PRETO DA EVA ;RMM;6,70;;km;"  2°41'22.67""S";" 59°40'53.33""W";"  2°39'9.49""S";" 59°40'1.97""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 16.750.000,00;
RMRPE;414;RAMAL DO kM 81 - AM-010;ESTRADA;PRIMÁRIO;AM-010 ;AM-010  - KM 81,05;Início do Ramal do Km 81 - ao Lado do Mercantil Real - Km 81,05;Fim do Ramal do Km 81 - Km 15 ;RIO PRETO DA EVA ;RMM;15,00;;km;"  2°35'28.39""S";" 59°45'7.54""W";"  2°41'53.91""S";" 59°41'59.34""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 37.500.000,00;
RMRPE;415;RAMAL DO BAIXO RIO ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 80,1 ;Início do Ramal do Baixo Rio - Am-010 - ao Lado do Posto Equador - Km 80,1;Fim do Ramal do Baixo Rio - Km 14,2 ;RIO PRETO DA EVA ;RMM;14,20;;km;"  2°41'59.27""S";" 59°42'26.62""W";"  2°47'30.55""S";" 59°37'56.77""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 35.500.000,00;
RMRPE;416;RAMAL DO kM 79 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 79,3;Início do Km 79 - Am-010 - Km 79,3 ;Fim do Ramal do Km 79 - Km 10,1;RIO PRETO DA EVA ;RMM;10,10;;km;"  2°42'5.54""S";" 59°42'54.18""W";"  2°38'45.13""S";" 59°45'50.50""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 25.250.000,00;
RMRPE;417;RAMAL DO IFIBRAM ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 85,9;Início do Ramal do Ifibram - Am-010 - Km 85,9 ;Fim do Ramal do IFibram - Km 8,6 ;RIO PRETO DA EVA ;RMM;8,60;;km;"  2°40'34.85""S";" 59°39'54.68""W";"  2°40'48.87""S";" 59°36'43.59""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 21.500.000,00;
RMRPE;418;RAMAL DO kM 89 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 89,9;Início do Ramal do Km 89 - ao Lado da Fabrica Ração Confiança  - Am-010 - Km 89,9;Fim do Ramal do Km 89 - Km 2,5;RIO PRETO DA EVA ;RMM;2,50;;km;"  2°38'58.12""S";" 59°38'39.36""W";"  2°39'54.49""S";" 59°38'1.42""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 6.250.000,00;
RMRPE;419;RAMAL UNIÃO DAS VITÓRIAS;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 91,4;Início do Ramal União das Vitórias - Igreja Assembleia de Deus - Am-010 - Km 91,4;Fim do Ramal da União das Vitórias - Km 5,1;RIO PRETO DA EVA ;RMM;5,10;;km;"  2°38'58.12""S";" 59°38'39.36""W";"  2°39'54.49""S";" 59°38'1.42""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 12.750.000,00;
RMRPE;420;ESTRADA ZF-7 ;ESTRADA;PRIMÁRIO;AM-010 ;AM-010 - KM 93,5;Início do Estrada ZF- 7 - am-010 - Km 93,5;Fim do Estrada FZ - 7 - Km 40,9;RIO PRETO DA EVA ;RMM;40,90;;km;"  2°38'0.75""S";" 59°37'6.00""W";"  2°27'22.58""S";" 59°37'24.74""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 102.250.000,00;
RMRPE;421;RAMAL FÉ EM DEUS ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 93,9;Início do Ramal Fé em Deus - Am-010 - Km 93,9 ;Fim do Ramal Fé em Deus - Km 7,9;RIO PRETO DA EVA ;RMM;7,98;;km;"  2°37'58.79""S";" 59°36'50.80""W";"  2°41'21.53""S";" 59°36'1.96""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 19.950.000,00;
RMRPE;422;SUB. RAMAL 02 - RAMAL DA IFIBRAM ;ESTRADA;PRIMÁRIO;RAMAL IFIBRAM;RAMAL IFIBRAM - KM 3,2 ;Início Sub.Ramal 02 - Ramal da Ifibram - Km 3,2 ;Fim do Sub.Ramal 02 - Ramal IFibram - Km 3,7;RIO PRETO DA EVA ;RMM;3,70;;km;"  2°41'24.75""S";" 59°38'55.82""W";"  2°39'57.24""S";" 59°38'1.04""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 9.250.000,00;
RMRPE;423;ESTRADA ZF-8;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM  95,95;Início da Estrada ZF-8 - Am-010 - Km 95,95;Fim da Estrada ZF-8 - Km 26,4 ;RIO PRETO DA EVA ;RMM;26,40;;km;"  2°38'7.64""S";" 59°35'57.90""W";"  2°29'55.73""S";" 59°29'38.00""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 66.000.000,00;
RMRPE;424;ESTRADA VELHA ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 98,1;Início da Estrada Velha - Am-010 - Km 98,1 ;Fim da Estrada Velha - Am-010 - Km 100,3  ;RIO PRETO DA EVA ;RMM;2,95;;km;"  2°38'47.83""S";" 59°35'5.74""W";"  2°39'20.02""S";" 59°34'4.94""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 7.375.000,00;
RMRPE;425;RAMAL 15 DE NOVEMBRO;ESTRADA;PRIMÁRIO;AM-010 ;AM-010 - KM 101,3;Início do Ramal 15 de Novembro - Am-010 - Km 101,3 ;Fim do Ramal 15 de Novembro - Km 0,46;RIO PRETO DA EVA ;RMM;0,46;;km;"  2°39'52.64""S";" 59°33'57.92""W";"  2°39'47.76""S";" 59°33'44.61""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 1.150.000,00;
RMRPE;426;RAMAL DO kM 101 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 101,54;Início do Ramal do Km 101 - Am-010 - Km 101,54;Fim do Ramal do Km 101 - Km 1,8;RIO PRETO DA EVA ;RMM;1,80;;km;"  2°40'0.43""S";" 59°33'56.82""W";"  2°40'20.03""S";" 59°34'45.07""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 4.500.000,00;
RMRPE;427;RAMAL DO SUCURIJU ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 102,4;Início do Ramal do Sucuriju - Am-010 - Km 102,4;Fim do Ramal do Sucuriju - Km 7,1;RIO PRETO DA EVA ;RMM;7,10;;km;"  2°37'24.85""S";" 59°32'5.51""W";"  2°40'25.59""S";" 59°33'46.65""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 17.750.000,00;
RMRPE;428;RAMAL JANGADA II;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 102,4;Início do Ramal Jangada II - Am-010 - Km 102,4;Fim do Ramal do Jangada II - Km 3;RIO PRETO DA EVA ;RMM;3,00;;km;"  2°40'26.25""S";" 59°33'46.61""W";"  2°41'10.22""S";" 59°34'51.22""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 7.500.000,00;
RMRPE;429;RAMAL APARECIDA ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 104,1;Início do Ramal da Aparecida - Am-010 - Km 104,1;Fim do Ramal da Aparecida - Km 12 ;RIO PRETO DA EVA ;RMM;12,00;;km;"  2°40'36.92""S";" 59°33'0.61""W";"  2°36'14.83""S";" 59°29'23.29""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 30.000.000,00;
RMRPE;430;ESTRADA ZF- 9 ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 107,5;Início da Estrada ZF- 9  - am-010 - Km 107,5;Fim da Estrada ZF-9 - Km 22,8;RIO PRETO DA EVA ;RMM;22,80;;km;"  2°41'42.94""S";" 59°31'33.28""W";"  2°39'37.61""S";" 59°22'21.43""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 57.000.000,00;
RMRPE;431;RAMAL DO kM 108 - AM-010 ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 108;Início do Ramal do Km 108 - Am-010 - Km 108 ;Fim do Ramal do Km 108 - Km 1,27;RIO PRETO DA EVA ;RMM;1,27;;km;"  2°41'53.52""S";" 59°31'24.06""W";"  2°42'6.51""S";" 59°30'48.82""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 3.175.000,00;
RMRPE;432;RAMAL DO PROCÓPIO ;ESTRADA;PRIMÁRIO;AM-010 ;AM-010 - KM 114,9 ;Início do Ramal do Procópio - Am-010 - Km 114,9;Fim do Ramal do Procópio - Km 18,65;RIO PRETO DA EVA ;RMM;18,65;;km;"  2°44'38.71""S";" 59°29'21.96""W";"  2°39'48.68""S";" 59°22'17.51""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 46.625.000,00;
RMRPE;433;RAMAL ASA BRANCA ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 116,6;Início do Ramal Asa Branca - Am-010 - Km 116,66;Fim do Ramal do Asa Branca - Km 9,8;RIO PRETO DA EVA ;RMM;9,80;;km;"  2°45'27.27""S";" 59°29'19.60""W";"  2°49'8.72""S";" 59°31'56.61""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 24.500.000,00;
RMRPE;434;RAMAL BELÉM;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 118,9;Início do Ramal do Belém - Am-010 - Km 118,9;Fim do Ramal Belém - Km 10,5;RIO PRETO DA EVA ;RMM;10,50;;km;"  2°45'4.51""S";" 59°23'43.45""W";"  2°46'32.02""S";" 59°28'42.30""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 26.250.000,00;
RMRPE;435;RAMAL DAS TORRES;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 119,7;Início do Ramal das Torres - Am-010 - Km 119,7 ;Fim do Ramal das Torres - Km 1,32 ;RIO PRETO DA EVA ;RMM;1,32;;km;"  2°46'53.94""S";" 59°28'31.51""W";"  2°47'18.08""S";" 59°28'54.55""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 3.300.000,00;
RMRPE;436;RAMAL DO kM 119 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 119,8;Início do Ramal do Km 119 - Am-010 - Km 119,8;Fim do Ramal do Km 119 - Km 0,75;RIO PRETO DA EVA ;RMM;0,75;;km;"  2°46'55.92""S";" 59°28'28.92""W";"  2°46'39.75""S";" 59°28'11.45""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 1.875.000,00;
RMRPE;437;RAMAL RAIO DE SOL ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 121,4;Início do Ramal Raio de Sol - Am-010 - Km 121,4;Fim do Ramal Raio de Sol - Am-010 - Km 4,2;RIO PRETO DA EVA ;RMM;4,20;;km;"  2°47'40.77""S";" 59°28'4.45""W";"  2°46'47.86""S";" 59°29'37.55""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 10.500.000,00;
RMRPE;438;RAMAL DO kM 122 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 121,4;Início do Ramal do Km 122 - Am-010 - Km 122,46;Fim do Ramal do Km 122 - Km 0,7;RIO PRETO DA EVA ;RMM;0,78;;km;"  2°48'13.89""S";" 59°27'53.01""W";"  2°47'54.50""S";" 59°27'39.01""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 1.950.000,00;
