 CÓDIGO ;Número;Ramal/Estrada;Classificação;Segmentação;Rodovia/Estrada de acesso;Ponto de referencia ;Local de Início ;Local Termino ;Município;Calha;Extensão (km);Extensão de Obra (km);Und;Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final;Traçado KML;Traçado SHP;Ficha de Cadastro;Fotos;Relatorio;Mapa ;Assentamento Oficial;Acesso a Comunidades ou Distritos;Zona Agrícola ou Agropecuária;Zonas ou Pontos de Turísticos ;Atividade Industrial ;Nota Uso de Solo;População;Qtd. Sub-Vicinais ;Nota Nível de Ocupação;Acesso intermodal;Via de Acesso Alternativa ;Boa trafegabilidade terrestre;Infraestrutura de Acesso ;Acesso a serviços publicos;Nota de Vulnerabilidade de Transporte;Relevo;Tipo de Terreno;Unidades de Conservação;Sitio Arqueológico ;Terra Indigena ;OAES;Nota de Dificuldade de Elaboração de projeto e execução;Desenvolvimento Local;Vulnerabilidade de transporte ;Dificuldade de Elaboração;Soma;Prioridade;Revestimento;Qualidade do Pavimento Existente ;Fonte;Situação;ANO DE CONCLUSÃO;numero_ct_cv;RESUMO DO OBJETO;Custo Estimado ;Custo Contratatado 
RMMAQ;242;RAMAL DO kM 27 - AM-354 ;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 27,20;Início do Ramal do Km 27 - Am-354 - Km 27,20;Fim do Ramal do Km 27 - Am-354 - Km 6,97;MANAQUIRI;RMM;6,97;;km;"  3°33'44.00""S";" 60°25'20.10""W";"  3°33'6.52""S";" 60°28'6.04""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 17.425.000,00;
RMMAQ;243;RAMAL DO kM 23 - AM-354 ;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 23,20;Início do Ramal do Km 23 - Am-354 - Km 23,20;Fim do Ramal do Km 23 - Am-354 - Km 6,84;MANAQUIRI;RMM;6,84;;km;"  3°35'36.14""S";" 60°24'13.43""W";"  3°33'16.16""S";" 60°21'37.00""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 17.100.000,00;
RMATZ;13;RAMAL DO AÇUPURANGA;ESTRADA;PRIMÁRIO;AM-254;AM-254 - KM 40,37;Início Ramal do Açupuranga - Am-254 - Km 40,37;Fim do Ramal Açupuranga - Comunidade Açu Puranga - Km 6,15;AUTAZES;RMM;6,15;6,15;km;"  3°35'29.57""S";" 59°37'42.00""W";"  3°38'45.22""S";" 59°38'10.78""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;CONCLUÍDO;;CT-00065/2018-SEINFRA;Ramal Açupuranga;R$ 15.375.000,00;R$ 5.743.330,71
RMMAQ;245;RAMAL DO ITALIANO;ESTRADA;PRIMÁRIO;RAMAL DO BARRO ALTO ;RAMAL DO BARRO ALTO - KM 7,7;Início do Ramal do Italiano - Ramal do Barro Alto - Km 7,7;Fim do Ramal do Italiano - Km 6,26;MANAQUIRI;RMM;6,26;;km;"  3°27'23.04""S";" 60°24'1.23""W";"  3°28'6.42""S";" 60°21'41.15""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 15.650.000,00;
RMMAO;246;RAMAL DO MATRINXÃ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 22,1 ;Início do Ramal Matrinxã - 22,12 Km;Fim do Ramal Matrinxã - 1,59 Km;MANAUS;RMM;1,59;;km;"  2°56'43.62""S";" 60° 0'44.25""W";"  2°57'5.59""S";" 60° 0'0.40""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 3.975.000,00;
RMMAO;247;SUB. RAMAL 01  - RAMAL MATRINXÃ;ESTRADA;PRIMÁRIO;RAMAL MATRINXÃ;RAMAL DO MATRINXÃ - KM 0,5;Início do Sub. Ramal 01 - Ramal Matrinxã - Ramal do Matrinxã - 0,5 Km;Fim do Sub. Ramal 01 -  Ramal Matrinxã - 1,18 Km;MANAUS;RMM;1,18;;km;"  2°56'51.20""S";" 60° 0'28.57""W";"  2°57'0.48""S";" 59°59'59.31""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 2.950.000,00;
RMMAO;248;RAMAL DO kM 23 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 23,6;Início do Ramal do Km 23 - Café regional do negão - 23,60 Km - am-010;Fim do Ramal do Km 23 - 3,60 Km - am-010;MANAUS;RMM;3,60;;km;"  2°55'57.66""S";" 60° 0'32.47""W";"  2°55'38.60""S";" 60° 1'25.56""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 9.000.000,00;
RMMAO;249;RAMAL DO BONS AMIGOS ;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 28,11;Início do Ramal Bons Amigos - Km 28,11 - am-010;Fim do Ramal do Bons Amigos - Empreendimento Chácaras Amazonas - Km 31 - am-010;MANAUS;RMM;9,35;;km;"  2°54'40.83""S";" 59°58'42.66""W";"  2°53'28.86""S";" 59°57'53.13""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 23.375.000,00;
RMMAO;250;RAMAL DO kM 31 - AM-010;ESTRADA;PRIMÁRIO;AM-010;AM-010 - KM 31;Início do Ramal do Km 31 - ao Lado Empreendimento Chácaras Amazonas;Fim do Ramal do Km 31 - am-010 - Km 28,11;MANAUS;RMM;9,35;;km;"  2°53'28.84""S";" 59°57'53.08""W";"  2°54'40.86""S";" 59°58'42.67""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 23.375.000,00;
RMMAO;251;RAMAL ÁGUA BRANCA;ESTRADA;PRIMÁRIO;AM-010 ;AM-010 - KM 33,2 ;Início do Ramal Água Branca - Km 33,2 - Am-010;Fim do Ramal Água Branca - Km 14,2 ;MANAUS;RMM;14,20;;km;"  2°53'1.82""S";" 59°57'9.41""W";"  2°54'59.88""S";" 59°50'47.62""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 35.500.000,00;
RMMAO;252;SUB. RAMAL 01  - RAMAL ÁGUA BRANCA;ESTRADA;PRIMÁRIO;RAMAL ÁGUA BRANCA ;RAMAL ÁGUA BRANCA - KM 4,55;Início do Sub. Ramal 01 - Ramal Água Branca - Km 4,55;Fim do Sub. Ramal 01 - Km 3,40;MANAUS;RMM;3,40;;km;"  2°53'48.15""S";" 59°55'9.34""W";"  2°54'34.63""S";" 59°56'41.30""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 8.500.000,00;
RMMAO;253;SUB. RAMAL 02 - RAMAL ÁGUA BRANCA ;ESTRADA;PRIMÁRIO;RAMAL ÁGUA BRANCA ;RAMAL ÁGUA BRANCA - KM 5,3;Início Sub.Ramal 02 - Ramal Água Branca - Km 5,32;Fim sub.Ramal 02 - Ramal Água Branca - Km 1,28;MANAUS;RMM;1,28;;km;"  2°53'53.52""S";" 59°54'45.27""W";"  2°53'23.04""S";" 59°54'24.58""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 3.200.000,00;
RMMAO;254;SUB. RAMAL 03 - RAMAL ÁGUA BRANCA ;ESTRADA;PRIMÁRIO;RAMAL ÁGUA BRANCA ;RAMAL ÁGUA BRANCA - KM 7,4;Início Sub.Ramal 03 - Ramal Água Branca - Km 7,4;Fim do Sub.Ramal 03 - Ramal Água Branca - Km 2,19;MANAUS;RMM;2,19;;km;"  2°54'14.06""S";" 59°53'47.50""W";"  2°54'31.66""S";" 59°54'19.18""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 5.475.000,00;
RMMAO;255;SUB. RAMAL 04 - RAMAL ÁGUA BRANCA ;ESTRADA;PRIMÁRIO;RAMAL ÁGUA BRANCA ;RAMAL ÁGUA BRANCA - KM 8,5;Início Sub.Ramal 04 - Ramal Água Branca - Escola Municipal Professora Joana Vieira -  Km 8,5;Fim Sub.Ramal 04 - Ramal Água Branca - Km 1,12;MANAUS;RMM;1,12;;km;"  2°54'22.17""S";" 59°53'13.44""W";"  2°54'43.61""S";" 59°53'37.30""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 2.800.000,00;
RMMAO;256;ESTRADA ADOLPHO DUCkE;ESTRADA;PRIMÁRIO;RAMAL ÁGUA BRANCA ;RAMAL ÁGUA BRANCA - KM 9,1;Início da Estrada Adolpho DucKe - Km 9,1;Fim da Estrada Adolpho DucKe - SAICA - Km 20,7;MANAUS;RMM;20,70;;km;"  2°54'25.39""S";" 59°52'54.64""W";"  3° 1'38.79""S";" 59°54'58.63""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 51.750.000,00;
